#{"t_start": 1787343965.7168682, "env_id": "None"}
r,l,t
-17.990628,200,3.354282
-38.489251,165,3.631425
-65.551174,107,3.80195
-39.569443,161,4.066788
-50.484088,144,4.296476
-35.177024,173,4.580997
-55.293,139,5.13118
-61.492906,120,5.330999
-48.603549,146,5.573071
-47.032236,150,5.813099
-59.599519,128,6.035887
-48.44078,148,6.282335
-60.728222,120,6.481471
-31.187882,171,7.061065
-37.779839,183,7.347717
-65.395933,106,7.506714
-56.979203,133,7.704113
-26.487781,173,7.978598
-59.048001,121,8.160997
-16.759486,216,8.514767
-22.455253,189,9.143404
-50.175818,140,9.371289
-55.918872,124,9.574365
-45.638187,141,9.80325
-53.120772,142,10.033019
-38.764273,161,10.291305
-46.027629,160,10.576036
-66.920966,102,11.056394
-59.968807,116,11.242836
-59.61056,119,11.426115
28.375172,294,11.906783
-56.213485,122,12.093668
-26.84861,172,12.405428
-55.011594,135,12.934751
-50.635753,142,13.188986
-43.601969,151,13.432317
-50.638859,146,13.694932
-63.187769,115,13.891059
-55.606034,132,14.157483
-56.236431,132,14.394414
-55.184743,132,14.622814
-27.957226,201,15.260959
-42.357815,153,15.534147
-66.812646,106,15.736696
-52.048107,137,15.97364
-64.516112,114,16.176738
-61.615217,117,16.376478
-57.977337,122,16.621406
-14.041606,219,17.285389
-55.619377,135,17.514174
-41.74888,159,17.783327
-53.009824,131,18.008104
-57.941671,132,18.237849
-31.931025,204,18.625902
-61.395466,122,18.854524
-18.95765,194,19.477948
-61.249527,114,19.656631
-21.623512,216,20.048309
-40.097313,160,20.321364
-63.90892,113,20.511209
-59.599752,126,20.709664
-61.211148,119,20.88662
-71.583556,98,21.326086
-44.786599,153,21.567404
-68.734264,114,21.749459
-19.408917,216,22.15293
-60.093428,119,22.356725
-60.902229,124,22.564906
-41.0271,166,22.864058
-51.883919,138,23.465661
-25.243106,194,23.790915
-35.225586,187,24.12591
-27.473004,175,24.451263
-45.786543,147,24.687247
-46.788219,143,24.897662
-36.410206,180,25.468052
-61.782064,119,25.657519
-37.401969,165,25.918314
-37.277064,166,26.191287
-58.043539,127,26.405927
-65.018281,112,26.591568
-28.92618,184,26.8879
-45.728029,153,27.446209
-35.526695,187,27.736429
-35.440869,169,28.011181
-53.824534,135,28.221382
-65.167913,112,28.403357
-59.225467,124,28.60451
-35.914095,167,28.866142
-39.335344,177,29.486708
-56.736397,128,29.680678
-54.283089,135,29.885465
-55.470522,131,30.093603
-50.720799,141,30.326592
-53.234749,139,30.556376
-56.748302,124,30.760966
-54.011297,138,31.261541
4.628414,230,31.667073
-29.70821,186,31.958354
-44.428829,155,32.195278
-46.638937,156,32.441246
4.419093,256,32.851737
-33.809075,190,33.474753
-48.300113,142,33.69805
-41.957286,168,33.977295
-51.365132,153,34.221566
-60.470719,125,34.4238
-48.595181,156,34.691198
-50.762811,142,35.224247
-45.235193,157,35.499108
-27.033144,178,35.801006
-41.37224,172,36.076575
-56.868647,129,36.271324
-26.040895,188,36.591074
-59.523741,131,36.814205
-58.000265,136,37.352689
-57.271174,124,37.543686
-60.77139,134,37.750281
-48.649215,182,38.053811
-33.755764,151,38.311555
-32.679705,222,38.702555
-35.532839,181,39.316871
-58.687326,138,39.541544
-49.024764,151,39.789457
-51.681004,150,40.047531
-57.041401,136,40.285757
-57.573511,138,40.522283
-59.301692,136,40.760966
-27.499626,168,41.349493
-38.59576,185,41.641313
-35.476882,159,41.890958
-44.024127,178,42.188213
-47.10479,157,42.476037
-46.200836,185,42.793219
-55.656213,144,43.342439
-60.317225,121,43.542983
-53.085051,142,43.75478
-35.631477,187,44.051345
-54.815009,154,44.303676
-44.566366,162,44.57166
-51.011527,150,44.851836
-45.93437,170,45.436346
-14.399472,223,45.798915
-24.96118,207,46.144019
-51.401875,156,46.424159
48.74778,307,46.930934
23.670323,269,47.68221
-41.360188,165,47.953921
26.907162,240,48.335078
-24.087444,209,48.683219
-20.524322,171,49.26014
6.485647,229,49.641294
-48.150851,175,49.93536
-50.383982,144,50.162366
-49.883661,170,50.41109
-28.047841,183,50.687451
-38.391578,185,51.237094
-43.626057,191,51.540986
-44.29856,157,51.798778
-29.871603,186,52.123433
-40.878387,189,52.443846
-53.680093,160,52.711819
-47.358092,174,53.393821
-45.792841,173,53.691076
-48.599944,169,53.970897
-40.097378,157,54.2421
-40.633162,172,54.538246
9.669888,194,54.838805
-32.93354,185,55.431288
-45.94307,188,55.740112
-37.28435,204,56.08111
-54.01575,154,56.337906
121.156446,363,57.22094
-14.514219,201,57.555198
-40.365646,159,57.801113
-42.584546,167,58.101398
-27.00389,191,58.424897
-19.769474,219,58.80248
-43.676057,168,59.380923
-26.838666,211,59.717678
-21.500775,236,60.155275
-37.246208,197,60.524322
-49.518748,159,60.805362
6.744208,296,61.673308
-39.976223,164,61.96248
-38.552987,191,62.263489
-40.030792,199,62.596741
-33.779462,198,62.963046
-32.091079,218,63.645903
-4.060368,245,64.051204
-45.213697,184,64.341203
-14.691044,243,64.760977
-48.875376,153,65.057252
-37.976816,177,65.738242
-28.058604,242,66.131513
-19.920521,246,66.561041
-34.075369,187,66.891718
0.087112,266,67.666824
-48.90049,167,67.941445
-15.121173,249,68.320947
-31.382546,216,68.65355
1.028112,263,69.051254
-25.453249,205,69.711116
-27.784318,201,70.030896
-29.357077,202,70.357858
-39.566346,205,70.70106
-11.70121,290,71.184239
-22.719092,226,71.841213
52.753746,326,72.427285
9.284278,272,72.910947
64.381587,305,73.739634
-34.911908,232,74.115404
-44.56323,173,74.424116
-18.660848,227,74.815201
-30.708614,179,75.124923
40.416015,399,76.140944
-49.500586,194,76.483048
-26.207408,206,76.878092
67.678259,331,77.468245
-15.255588,231,78.189505
43.702216,298,78.688709
-33.592433,205,79.051012
-13.911286,230,79.451211
4.121916,243,80.15848
44.963432,316,80.688096
-9.06907,242,81.097371
116.636292,342,82.019547
15.204116,272,82.471143
14.374892,308,83.036947
-20.235027,247,83.523162
-40.312062,204,84.200915
21.658642,301,84.703928
35.590083,314,85.24113
108.720933,374,85.864648
181.653266,409,86.841179
42.977693,347,87.423087
-18.50253,270,87.878944
89.567178,357,88.787043
170.401952,581,89.808673
86.589456,383,90.770816
238.323978,516,91.656247
175.809003,541,92.868412
168.94145,658,94.011207
228.959299,459,95.030919
7.141876,323,95.622083
112.749495,462,96.734735
221.344309,560,97.655186
122.898281,393,98.611134
183.633626,436,99.326481
78.605471,461,100.041261
159.785428,500,101.142953
169.486887,462,101.956714
332.943208,556,103.173011
59.777131,396,103.891536
125.716913,360,104.793134
149.682483,455,105.520932
-6.620701,240,105.971274
53.253241,354,106.926335
27.843506,304,107.411272
-18.585891,263,107.831028
78.804091,364,108.726594
61.408746,342,109.307743
25.649769,265,109.771132
133.43564,363,110.633921
31.04791,313,111.190898
134.666471,349,111.746532
82.577689,461,112.835275
56.064698,299,113.423623
298.43603,501,114.373828
170.080423,365,115.254777
423.862925,578,116.240963
82.587096,312,117.051449
16.005631,296,117.541278
131.508624,374,118.171992
-3.550377,250,118.916724
237.331164,475,119.670033
94.353411,502,120.830931
238.935731,499,121.614784
231.514806,422,122.318667
163.841152,381,123.241777
110.873145,329,123.781188
102.997493,501,124.938979
199.712087,559,125.838016
10.251565,252,126.226173
225.65933,561,127.407161
213.980609,568,128.648989
153.097155,531,129.505011
115.30958,409,130.162888
31.139041,363,131.049448
98.843667,497,131.852973
153.648946,541,133.010987
-30.710172,221,133.350993
165.851352,594,134.618808
31.875635,355,135.164614
180.943921,497,135.951771
153.79627,475,136.99551
122.276717,367,137.597996
224.048143,440,138.673596
104.535524,360,139.276885
45.006281,407,139.987959
61.528838,431,140.941108
104.871203,560,141.808312
42.400748,457,142.824939
142.432379,448,143.687265
118.990002,420,144.747314
63.593253,375,145.351439
225.52372,886,147.087532
67.769208,442,147.834965
104.650005,514,148.953233
-2.616089,370,149.545621
-3.519749,323,150.371209
90.004632,384,150.983592
52.241818,394,151.659054
134.355902,355,152.525284
146.746031,397,153.133246
146.974514,400,153.816605
122.844437,414,154.790782
104.137256,398,155.441097
30.049918,362,156.366665
70.111223,467,157.140918
127.539623,376,157.777174
146.316777,376,158.681154
154.03623,377,159.30425
117.463908,379,159.941309
60.910559,372,160.863341
100.69711,405,161.522368
111.184706,372,162.458446
126.14613,417,163.105346
71.290179,428,163.826911
67.084684,294,164.61411
85.588141,453,165.390837
122.060595,398,166.387381
57.98444,314,166.881886
129.084221,400,167.579168
117.192678,346,168.452445
74.129586,352,169.019662
69.554151,309,169.5532
27.902626,345,170.403523
34.86492,403,171.127095
111.405829,328,171.661083
71.770035,308,172.428667
38.778531,364,173.073081
54.575169,297,173.655393
83.724427,419,174.696748
56.936149,306,175.209415
89.332805,331,175.765932
110.85755,345,176.668261
74.192694,331,177.20109
51.393402,314,177.723311
115.655743,381,178.645463
88.714883,330,179.198813
63.463157,304,179.715255
37.977154,278,180.143891
77.553797,314,180.92118
64.067681,271,181.344262
33.828097,377,181.941149
97.844948,302,182.725246
48.270232,304,183.217869
47.722318,286,183.715204
58.097895,269,184.477013
75.368315,279,184.925072
90.416124,339,185.451491
33.850392,288,185.889218
88.859022,281,186.617162
89.379404,299,187.058835
55.13674,334,187.561476
86.044693,349,188.376914
84.273872,281,188.795178
98.526859,307,189.250912
83.014991,291,189.973847
83.807009,301,190.428689
60.171476,356,190.963163
89.420013,309,191.42547
79.852842,291,192.177161
71.947052,300,192.62434
88.965016,294,193.069114
85.851356,296,193.800987
61.761419,293,194.237064
101.885913,305,194.69601
26.742868,359,195.531255
93.792594,297,195.982831
97.464298,303,196.43713
73.584027,286,196.873374
85.842034,302,197.620017
58.021199,336,198.11925
95.621726,303,198.581258
88.425276,294,199.313019
78.328098,303,199.776322
81.579085,286,200.201502
90.026626,292,200.897177
106.456115,308,201.371564
62.826634,287,201.811566
93.120225,299,202.277894
97.25036,281,203.063258
73.936185,287,203.591009
95.741036,291,204.123166
69.111375,300,204.861019
80.31049,275,205.303166
46.992146,296,205.768673
57.876758,277,206.210895
95.366455,291,206.962512
91.531959,280,207.383369
93.175738,282,207.816868
78.986106,259,208.212265
71.052898,256,208.883854
91.520361,290,209.320779
64.588305,303,209.801544
79.395261,314,210.570731
87.843973,431,211.233582
47.073159,364,211.783965
36.623946,286,212.497174
85.128642,273,212.902244
69.639269,321,213.390922
52.677932,297,213.851268
56.651922,402,214.761107
28.350033,310,215.22523
